asi_codigo,asi_nombre,asi_creditos
1000044-B,Inglés I- Semestral,3
1000045-B,Inglés II - Semestral,3
1000046-B,Inglés III - Semestral,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
1000047-B,Inglés IV- Semestral,3
2025196,Introducción a la biología computacional,4
2015173,Introducción a la optimización,4
2025819,Introducción a la teoría de conjuntos,4
2015174,Introducción a la teoría de la computación,4
2026573,Introducción a las ciencias de la computación y a la programación,3
2027312,Introducción al análisis combinatorio,4
2015155,Introducción al análisis real,4
1000002-B,Lecto-Escritura,4
2027629,Lógica computacional,3
1000001-B,Matemáticas Básicas,4
2028837,Matemáticas del aprendizaje de máquinas,4
2015176,Mecanica newtoniana,4
2024065,Mundos Virtuales,3
2025971,Optimización,3
2015178,Probabilidad,4
1000013-B,Probabilidad y estadística fundamental,3
2016375,Programación orientada a objetos,3
1000041-B,Química básica,3
2015181,Sistemas numéricos,4
2016707,Sistemas operativos,3
1000074-B,Suficiencia en lengua extranjera,12
2027313,Teoría de Codificación,4
2027634,Trabajo de Grado - Asignaturas de Posgrado,8
2027636,Trabajo de Grado - Pasantías,8
2027633,Trabajo de Grado - Trabajos investigativos,8
2015555,Álgebra lineal básica,4
2016378,Álgebra matricial,4
2016333,Análisis de correspondencias,4
2016313,Análisis de datos categóricos,4
2016334,Análisis de datos longitudinales,4
2016360,Análisis de regresión,4
2015161,Análisis estocástico,4
2016361,Análisis multivariado,4
2016353,Bases de datos,3
1000012-B,Bioestadística fundamental,3
1000009-B,Biología general,3
1000010-B,Biología molecular y celular,3
2016314,Cálculo actuarial,3
2016342,Cálculo de ecuaciones diferenciales ordinarias,4
2016377,Cálculo diferencial en una variable,4
2015556,Cálculo integral en una variable,4
2015162,Calculo vectorial,4
2022660,Comprensión de textos en idioma extranjero,12
2016335,Computación estadística,4
2015709,Comunicación oral y escrita,3
2016344,Consultoría estadística,2
2016317,Control estadístico de calidad,3
2016318,Demografía,3
2007388,Demografia,3
2016362,Diseño de experimentos,4
2016028,"Diseño, gestión y evaluación de proyectos",4
2016363,Diseño y desarrollo de encuestas,4
2016320,Epidemiología,3
2016343,Español funcional,3
2016364,Estadística bayesiana,4
2016365,Estadística descriptiva multivariada,4
2016366,Estadística descriptiva y exploratoria,4
2016367,Estadística espacial,4
1000014-B,Estadística social fundamental,3
2016355,Estadística y sociedad,3
2016120,Estrategia de mercados,3
1000095,Examen de clasificación en inglés,0
2016741,Finanzas,3
2016321,Finanzas y modelos de inversión,3
2024393,Formulación y gerencia de proyectos,4
1000011-B,Fundamentos de ecología,3
1000018-B,Fundamentos de física moderna,3
2015168,Fundamentos de matemáticas,4
2016349,Geometría Elemental,4
1000008-B,Geometria vectorial y analítica,4
2015152,Grupos y anillos,4
2015803,Indicadores sociales,3
2016379,Inferencia estadística,4
2015703,Ingeniería económica,3
1000044-B,Inglés I- Semestral,3
1000048-B,Inglés I- Virtual,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
2023925,Inglés II- Intensivo,3
2015648,Administración de farmacias ambulatorias,3
2015672,Administración farmacéutica,2
1000003-B,Álgebra Lineal,4
2015649,Análisis instrumental farmacéutico,4
2015678,Aplicaciones de la biotecnología en terapéutica,3
2029149,Aplicaciones farmacéuticas en veterinaria,3
2015673,Aseguramiento de calidad,2
2027884,Bioanalítica farmacéutica,3
1000012-B,Bioestadística fundamental,3
2015647,Biofarmacia y farmacocinética,2
1000010-B,Biología molecular y celular,3
2015570,Bioquimica,3
2015650,Buenas prácticas de manufactura,3
1000004-B,Cálculo diferencial,4
1000005-B,Cálculo Integral,4
2015651,Calidad y legislación de fitofarmacéuticos,3
2015652,Control de calidad farmacéutico,4
2024799,Diseño y Desarrollo de Productos Farmacéuticos,4
2027882,Diseño y evaluación de productos cosméticos,3
2015653,Estabilidad de medicamentos,3
1000014-B,Estadística social fundamental,3
2015654,Farmacia hospitalaria I,5
2015655,Farmacia hospitalaria II,5
2015656,Farmacia industrial,2
2015657,Farmacia química i,4
2015658,Farmacia química II,2
2015681,Farmacocinética clínica,3
2015659,Farmacognosia y fitoquímica,5
2015682,Farmacología especial,3
2015683,Farmacología general,3
2015660,Farmacotecnia I,5
2015661,Farmacotecnia II,5
2015684,Farmacoterapia,3
1000037-B,Fisicoquímica I,3
1000038-B,Fisicoquímica II,3
2015685,Fisioanatomía,3
2015686,Fisiopatología,3
1000022-B,Fluidos y electromagnetismo para biociencias,4
2015662,Fundamentos de bromatología,2
2015674,Gestión en servicios farmacéuticos,2
2027883,Historia universal de la farmacia,3
1000044-B,Inglés I- Semestral,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
2027885,Introducción a la atención farmacéutica,3
1000040-B,Introducción a la ciencia de materiales,3
2015675,Introducción a la farmacia,2
2015663,Introducción a la farmacia clínica,3
1000003-B,Álgebra Lineal,4
2015555,Álgebra lineal básica,4
2015979,Análisis del discurso I,3
2016131,Apreciación musical,3
2017774,Biología evolutiva,4
2017775,Biologia molecular de la célula,4
1000010-B,Biología molecular y celular,3
2016342,Cálculo de ecuaciones diferenciales ordinarias,4
2016377,Cálculo diferencial en una variable,4
2015556,Cálculo integral en una variable,4
2015162,Calculo vectorial,4
2014485,Catedra de creacion - facultad de artes,3
2017256,Ciencia e ingeniería de materiales,3
2015229,Colombia Contemporánea,3
2016869,Dibujo I,3
2016656,Elasticidad y fluidos,3
2016657,Electricidad y Magnetismo,3
2016658,Electrodinámica I,3
2016659,Electrodinámica II,3
2016683,Electrónica analógica,3
2017260,Electrónica básica,3
2016684,Electrónica Digital,3
2016366,Estadística descriptiva y exploratoria,4
2015800,Estructura de la sociedad moderna I,3
2016687,Experimentos en Física Moderna,3
2015499,Fundamentación Geofísica,3
2016007,Fundamentos de administración,4
2016008,Fundamentos de contabilidad financiera,4
2015270,Fundamentos de economía,3
2016650,Fundamentos de Física Experimental,3
2016651,Fundamentos de Física Teórica,3
2015168,Fundamentos de matemáticas,4
2016660,Fundamentos de Óptica,3
2017881,Fundamentos de psicología,4
2015497,Geodinamica interna,4
2015560,Geoeléctrica,3
2015172,Geometría elemental,4
2016073,Herencias - Una mirada a la historia de las artes,3
2016661,Herramientas computacionales,3
2017198,Historia de la arquitectura I,2
2016011,Historia económica general,4
1000044-B,Inglés I- Semestral,3
